territory,year,population_total,population_density,population_pp_pc
Castelo de Vide,2021,3198,12.1,79.4
Castelo de Vide,2022,3206,12.1,
Castelo de Vide,2023,3204,12.1,79.9
Castelo de Vide,2024,3189,12.0,
Castro Daire,2016,14303,37.5,
Castro Daire,2017,14152,37.2,64.8
Castro Daire,2018,14012,36.8,
Castro Daire,2019,13892,36.5,66.0
Castro Daire,2020,13825,36.4,
Castro Daire,2021,13740,36.1,67.8
Castro Daire,2022,13653,35.9,
Castro Daire,2023,13677,36.2,68.2
Castro Daire,2024,13761,36.4,
Castro Marim,2016,6473,21.5,
Castro Marim,2017,6453,21.4,71.7
Castro Marim,2018,6431,21.3,
Castro Marim,2019,6425,21.4,75.8
Castro Marim,2020,6463,21.6,
Castro Marim,2021,6535,21.9,81.2
Castro Marim,2022,6644,22.3,
Castro Marim,2023,6765,22.7,79.4
Castro Marim,2024,6901,23.2,
Castro Verde,2016,7124,12.5,
Castro Verde,2017,7074,12.4,102.1
Castro Verde,2018,7026,12.3,
Castro Verde,2019,7001,12.3,105.5
Castro Verde,2020,6957,12.1,
Castro Verde,2021,6926,12.2,103.5
Castro Verde,2022,6946,12.2,
Castro Verde,2023,6961,12.2,106.0
Castro Verde,2024,6956,12.2,
Celorico da Beira,2016,6998,28.1,
Celorico da Beira,2017,6882,27.6,65.0
Celorico da Beira,2018,6774,27.2,
Celorico da Beira,2019,6695,26.9,66.9
Celorico da Beira,2020,6643,26.8,
Celorico da Beira,2021,6596,26.6,71.1
Celorico da Beira,2022,6552,26.4,
Celorico da Beira,2023,6572,26.7,72.1
Celorico da Beira,2024,6620,26.8,
Celorico de Basto,2016,18473,101.5,
Celorico de Basto,2017,18233,99.9,56.1
Celorico de Basto,2018,17980,98.7,
Celorico de Basto,2019,17792,97.8,57.5
Celorico de Basto,2020,17736,98.1,
Celorico de Basto,2021,17694,97.4,63.3
Celorico de Basto,2022,17604,97.1,
Celorico de Basto,2023,17615,97.5,65.1
Celorico de Basto,2024,17646,97.4,
Chamusca,2016,9111,12.1,
Chamusca,2017,8949,11.9,71.7
Chamusca,2018,8797,11.7,
Chamusca,2019,8674,11.6,71.8
Chamusca,2020,8597,11.5,
Chamusca,2021,8555,11.5,74.5
Chamusca,2022,8551,11.5,
Chamusca,2023,8546,11.4,76.3
Chamusca,2024,8540,11.5,
Chaves,2016,38798,65.3,
Chaves,2017,38444,64.8,79.2
Chaves,2018,38152,64.3,
