territory,year,population_total,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Odivelas,2023,152425,246.85583073642775,136.00787272429062,110.84795801213711,19.91799245530589,53.56076759061833,59.37346235853698,54.32835820895523,59.67525012301132,20.915204198786288,24.917172379858947,43.195013941282596,92.05182876824668,29.175004100377233,36.601607347876005
Odivelas,2024,154993,262.90219558302636,142.70321885504507,120.19252482370172,24.097862484112184,63.577064770667064,63.30608479092604,56.31222055189589,55.608962985425144,19.923480415244562,26.543134206060916,43.776170536733915,112.21797113418025,29.356164471943895,31.08527481886279
Oeiras,2016,171758,364.7573912132186,190.89649390421408,173.8667194541157,30.72928189662199,63.880576159480206,87.39622026339384,90.3422256896331,92.41490934920063,32.86018700730097,34.665051991755846,66.93138019772005,123.07432550448888,96.91542752011551,10.311018991837352
Oeiras,2017,171959,318.2735419489529,170.9651719305183,147.3083700184346,26.593548462133413,51.744892677905774,74.82016061968258,77.50103222279729,87.61972330613692,27.45421873818759,30.76314702923371,57.705615873551245,108.98528137521151,83.90953657557905,9.455742357189793
Oeiras,2018,172235,254.0017998664615,139.63480128893661,114.36699857752488,18.602490782941906,39.004848027404414,58.44921183267048,61.93863035968298,76.00661886376172,20.007547827096698,23.28214358289546,43.24904926408686,91.05582489041134,69.64902604000348,6.752402241124045
Oeiras,2019,172896,209.36863779381827,118.82287617990006,90.54576161391819,12.834305015732001,32.418332407921525,46.24167129372571,52.67328336109569,65.20104571534333,15.33291689801962,16.00962428280585,33.40736627799371,73.99824171756433,64.79617804923191,5.824310568202851
Oeiras,2020,172590,279.64540239874844,154.8641288603048,124.7812735384437,23.471811808331886,56.040326786024686,64.14044846167216,65.25870560287386,70.7399038182977,14.618459933947506,21.936381018598993,45.95863027985399,108.01900457732197,82.05573903470653,7.062981632771308
Oeiras,2021,171798,310.4110641567422,171.52702592579658,138.88985902047753,26.996821848915587,62.107824305288766,67.96935936390412,71.72958940150642,81.61329002665921,16.734769904189804,21.560204426128358,51.624582358351084,120.22258699169956,89.77403695037195,10.494883526001468
Oeiras,2022,172843,232.45372968532135,127.75756032931618,104.69616935600514,17.437790364666196,39.75862487922566,48.29816654420485,55.15409938499099,71.80504851223364,14.701202825685735,20.116521930306693,37.687381033654816,86.4426097672454,63.10929571923652,10.396718409192156
Oeiras,2023,174764,216.23446476391015,120.20210111922361,96.03236364468654,18.05863907898652,38.21725298116316,41.46162825295827,50.02746561076651,68.46947884003569,14.453777665880843,17.62948891075965,34.103133368428274,83.49545673021903,58.427364903527035,8.130965187338353
Oeiras,2024,176772,222.49564410653272,122.23089629579344,100.26474781073927,20.489670309777566,43.315683479284054,44.096350100694686,49.832552666711926,64.76138755006448,13.910574072816964,17.4009458511529,32.39766478854118,93.65736655126378,57.84287104292535,7.286221799832553
