territory,year,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Soure,2022,398.0,228.7,169.3,45.8,63.0,69.8,77.9,141.5,78.3,44.5,78.1,104.8,58.2,34.2
Soure,2023,346.4,192.6,153.8,37.5,53.7,55.8,73.1,126.4,65.0,35.8,76.3,98.7,38.8,31.8
Soure,2024,330.1,188.8,141.3,36.0,63.7,55.1,61.5,113.8,57.8,26.6,63.9,113.3,45.3,23.2
Sousel,2016,213.2,126.8,86.3,34.1,42.2,50.3,38.8,47.8,43.5,29.2,48.8,55.6,17.5,18.7
Sousel,2017,186.7,111.8,74.8,25.5,33.7,45.5,39.8,42.3,28.8,28.3,37.2,52.6,14.9,24.8
Sousel,2018,149.1,94.8,54.3,19.8,31.7,34.2,31.8,31.7,20.8,25.3,28.3,36.2,12.0,26.7
Sousel,2019,146.2,93.6,52.6,23.3,31.2,29.6,26.9,35.2,19.2,26.1,27.8,40.3,8.8,24.0
Sousel,2020,183.5,112.7,70.8,22.8,40.1,46.7,30.4,43.6,25.8,33.2,43.8,48.1,10.9,21.8
Sousel,2021,172.3,104.9,67.4,24.1,37.1,40.4,26.5,44.3,22.3,31.2,38.0,43.9,13.3,23.6
Sousel,2022,152.1,91.5,60.6,21.2,33.0,33.5,24.5,39.9,20.9,25.2,32.1,39.3,9.2,25.4
Sousel,2023,151.8,86.7,65.1,16.3,31.1,32.0,33.4,38.9,22.3,23.1,32.3,42.2,6.5,25.5
Sousel,2024,164.8,94.4,70.3,19.9,30.8,34.8,39.1,40.3,22.3,21.3,38.6,51.7,9.4,21.5
Sátão,2016,636.2,337.0,299.2,96.9,125.9,102.0,137.4,173.9,166.6,123.2,100.2,124.2,70.7,51.4
Sátão,2017,581.4,321.3,260.1,82.6,105.8,93.1,119.3,180.7,148.3,110.9,93.2,109.8,65.6,53.7
Sátão,2018,485.3,281.3,204.1,53.3,87.5,81.5,92.8,170.3,120.3,84.2,82.2,94.8,52.3,51.6
Sátão,2019,433.3,262.0,171.3,49.6,80.0,67.6,85.8,150.3,104.9,81.7,73.4,83.8,45.3,44.2
Sátão,2020,396.8,234.3,162.6,45.9,76.5,76.0,77.9,120.5,84.8,73.5,76.7,90.4,38.1,33.3
Sátão,2021,401.1,235.3,165.8,46.7,68.1,69.8,81.5,135.0,86.3,77.5,75.8,89.6,38.3,33.6
Sátão,2022,377.8,225.8,152.0,38.8,69.6,67.4,69.9,132.2,76.6,77.1,69.3,83.7,39.5,31.8
Sátão,2023,371.0,221.9,149.1,38.3,58.9,67.4,73.2,133.2,78.5,68.8,75.8,84.7,35.2,28.1
Sátão,2024,354.8,198.8,156.1,39.3,53.8,69.0,66.3,126.5,69.6,71.8,62.7,87.3,33.8,29.8
São Brás de Alportel,2016,342.8,178.2,164.6,45.3,63.0,76.6,72.4,85.4,64.4,47.5,67.3,84.0,43.7,35.8
São Brás de Alportel,2017,245.7,135.0,110.7,26.3,39.4,58.6,60.4,60.9,49.0,31.6,46.1,59.2,32.8,27.0
São Brás de Alportel,2018,183.7,97.8,85.8,17.5,38.3,43.3,47.4,37.2,29.9,26.8,26.8,43.8,31.8,24.6
São Brás de Alportel,2019,179.8,98.5,81.3,17.7,37.2,51.2,38.2,35.6,31.3,22.0,35.7,44.4,25.3,21.1
São Brás de Alportel,2020,262.1,135.8,126.3,26.2,62.6,66.3,55.6,51.5,35.5,28.7,50.5,91.9,39.5,16.0
São Brás de Alportel,2021,301.3,164.7,136.7,33.3,60.8,72.7,74.9,59.8,38.9,30.4,56.3,102.8,45.8,27.0
São Brás de Alportel,2022,231.1,131.7,99.4,27.4,40.2,46.5,61.9,55.1,31.7,29.5,47.3,65.4,29.4,27.8
São Brás de Alportel,2023,203.7,116.8,86.9,22.2,44.8,35.6,48.3,52.9,25.6,23.8,31.9,64.8,30.6,27.0
São Brás de Alportel,2024,205.8,113.8,92.0,21.8,47.8,38.7,45.9,51.7,25.9,20.1,34.7,73.3,31.3,20.6
São João da Madeira,2016,948.4,559.0,389.4,101.3,182.2,196.1,240.3,228.5,132.0,160.4,179.7,267.2,166.9,42.3
São João da Madeira,2017,734.2,422.2,312.0,83.0,139.4,143.2,168.1,200.5,99.6,111.0,141.1,229.7,118.6,34.3
São João da Madeira,2018,678.9,388.2,290.8,77.1,123.0,147.0,138.0,193.8,88.7,105.3,130.2,216.4,110.0,28.4
São João da Madeira,2019,645.2,358.3,286.8,62.1,111.5,136.2,143.2,192.3,85.8,100.1,138.6,187.9,104.7,28.2
São João da Madeira,2020,919.3,513.3,406.0,108.6,177.4,192.4,201.4,239.5,108.6,158.5,189.6,308.5,118.2,36.0
São João da Madeira,2021,1018.4,553.0,465.4,110.3,200.9,197.5,219.3,290.3,118.6,176.3,201.4,346.5,145.9,29.8
São João da Madeira,2022,837.6,452.4,385.2,82.4,147.9,166.6,177.4,263.3,103.3,138.4,148.8,309.5,111.3,26.3
São João da Madeira,2023,852.5,474.9,377.6,89.8,149.8,177.8,183.9,251.3,87.3,155.6,143.2,347.7,97.8,20.9
São João da Madeira,2024,985.3,559.1,426.2,112.0,191.0,207.2,219.8,255.3,86.4,154.6,167.3,434.9,120.4,21.6
São João da Pesqueira,2016,373.1,222.1,151.0,63.5,83.4,74.6,73.3,78.3,82.7,72.0,71.0,76.3,33.8,37.3
São João da Pesqueira,2017,264.4,154.7,109.8,48.6,56.8,48.0,45.3,65.8,57.6,54.1,48.6,50.7,26.5,27.0
São João da Pesqueira,2018,206.6,120.9,85.7,39.8,45.9,39.1,37.3,44.6,34.3,38.5,41.1,48.8,24.8,19.3
São João da Pesqueira,2019,209.3,122.2,87.1,33.6,42.3,37.7,42.3,53.3,41.3,32.8,56.2,37.9,21.3,19.8
São João da Pesqueira,2020,204.3,118.1,86.2,30.3,38.9,34.4,44.4,56.3,46.0,28.3,48.9,44.5,20.5,16.1
São João da Pesqueira,2021,209.1,125.6,83.5,38.1,41.2,31.3,40.8,57.8,43.3,28.6,48.5,48.6,27.2,12.9
São João da Pesqueira,2022,191.9,119.2,72.8,35.0,35.7,33.4,32.9,54.9,30.2,30.7,43.8,49.0,25.2,13.2
São João da Pesqueira,2023,193.7,125.1,68.6,28.3,36.4,36.4,33.8,58.8,29.0,37.9,40.3,53.3,19.2,14.1
São João da Pesqueira,2024,180.8,110.6,70.3,23.4,33.9,31.8,36.7,55.0,23.3,35.2,43.1,48.5,14.3,16.4
São Pedro do Sul,2016,746.8,420.8,325.9,121.2,142.3,131.5,159.9,191.8,157.4,127.7,153.9,199.6,82.2,26.0
São Pedro do Sul,2017,703.5,406.2,297.3,104.4,125.6,134.5,141.8,197.3,150.0,123.4,141.0,192.1,72.0,25.0
São Pedro do Sul,2018,641.3,376.0,265.3,100.3,108.0,119.0,117.9,196.2,112.8,117.7,141.3,182.9,61.8,24.8
São Pedro do Sul,2019,548.6,320.0,228.6,98.8,91.8,103.8,89.3,165.0,86.3,71.0,129.9,171.4,61.5,28.5
São Pedro do Sul,2020,592.8,368.5,224.3,84.2,105.8,105.4,108.2,189.3,82.4,92.0,133.5,208.9,46.5,29.5
São Pedro do Sul,2021,596.3,365.7,230.7,76.2,117.3,107.0,106.8,189.1,80.5,103.9,124.4,199.2,53.3,35.0
São Pedro do Sul,2022,489.9,305.8,184.1,82.8,88.5,77.7,93.9,147.1,64.4,83.8,92.8,156.4,59.4,33.2
São Pedro do Sul,2023,496.3,290.4,205.8,70.0,98.6,82.6,95.8,149.3,65.5,76.2,91.7,162.5,56.3,44.1
São Pedro do Sul,2024,461.8,247.6,214.3,69.0,93.9,80.3,91.8,126.8,51.3,63.4,84.3,166.1,47.3,49.4
São Roque do Pico,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Roque do Pico,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
